Sample Names	MutationTypes	Signature A	Signature B
PD4086a	CT>TG	1.0	0.0
PD4086a	GC>AA	1.0	0.0
PD4086a	GC>AG	1.0	0.0
PD4086a	GC>AT	1.0	0.0
PD4086a	GC>CA	1.0	0.0
PD4086a	GC>CG	1.0	0.0
PD4086a	GC>TA	1.0	0.0
PD4086a	TA>AT	1.0	0.0
PD4086a	TA>CG	1.0	0.0
PD4086a	TA>CT	1.0	0.0
PD4086a	TA>GC	1.0	0.0
PD4086a	TA>GG	1.0	0.0
PD4086a	TA>GT	1.0	0.0
PD4086a	TC>AA	1.0	0.0
PD4086a	TC>AG	1.0	0.0
PD4086a	TC>AT	1.0	0.0
PD4086a	TC>CA	1.0	0.0
PD4086a	TC>CG	1.0	0.0
PD4086a	TC>CT	1.0	0.0
PD4086a	TC>GA	1.0	0.0
PD4086a	TC>GG	1.0	0.0
PD4086a	TC>GT	1.0	0.0
PD4086a	TG>AA	1.0	0.0
PD4086a	TG>AC	1.0	0.0
PD4086a	TG>AT	1.0	0.0
PD4086a	TG>CA	1.0	0.0
PD4086a	TG>CC	1.0	0.0
PD4086a	TG>CT	1.0	0.0
PD4086a	TG>GA	1.0	0.0
PD4086a	TG>GC	1.0	0.0
PD4086a	TG>GT	1.0	0.0
PD4086a	TT>AA	1.0	0.0
PD4086a	TT>AC	1.0	0.0
PD4086a	TT>AG	1.0	0.0
PD4086a	TT>CA	1.0	0.0
PD4086a	TT>CC	1.0	0.0
PD4086a	TT>CG	1.0	0.0
PD4086a	TT>GA	1.0	0.0
PD4086a	TT>GC	1.0	0.0
PD4086a	TT>GG	1.0	0.0
PD4194a	AC>CA	1.0	0.0
PD4194a	AC>CG	1.0	0.0
PD4194a	AC>CT	1.0	0.0
PD4194a	AC>GA	1.0	0.0
PD4194a	AC>GG	1.0	0.0
PD4194a	AC>GT	1.0	0.0
PD4194a	AC>TA	1.0	0.0
PD4194a	AC>TG	1.0	0.0
PD4194a	AC>TT	1.0	0.0
PD4194a	AT>CA	1.0	0.0
PD4194a	AT>CC	1.0	0.0
PD4194a	AT>CG	1.0	0.0
PD4194a	AT>GA	1.0	0.0
PD4194a	AT>GC	1.0	0.0
PD4194a	AT>TA	1.0	0.0
PD4194a	CC>AA	1.0	0.0
PD4194a	CC>AG	1.0	0.0
PD4194a	CC>AT	1.0	0.0
PD4194a	CC>GA	1.0	0.0
PD4194a	CC>GG	1.0	0.0
PD4194a	CC>GT	1.0	0.0
PD4194a	CC>TA	1.0	0.0
PD4194a	CC>TG	1.0	0.0
PD4194a	CC>TT	1.0	0.0
PD4194a	CG>AT	1.0	0.0
PD4194a	CG>GC	1.0	0.0
PD4194a	CG>GT	1.0	0.0
PD4194a	CG>TA	1.0	0.0
PD4194a	CG>TC	1.0	0.0
PD4194a	CG>TT	1.0	0.0
PD4194a	CT>AA	1.0	0.0
PD4194a	CT>AC	1.0	0.0
PD4194a	CT>AG	1.0	0.0
PD4194a	CT>GA	1.0	0.0
PD4194a	CT>GC	1.0	0.0
PD4194a	CT>GG	1.0	0.0
PD4194a	CT>TA	1.0	0.0
PD4194a	CT>TC	1.0	0.0
PD4194a	CT>TG	1.0	0.0
PD4194a	GC>AA	1.0	0.0
PD4194a	GC>AG	1.0	0.0
PD4194a	GC>AT	1.0	0.0
PD4194a	GC>CA	1.0	0.0
PD4194a	GC>CG	1.0	0.0
PD4194a	GC>TA	1.0	0.0
PD4194a	TA>AT	1.0	0.0
PD4194a	TA>CG	1.0	0.0
PD4194a	TA>CT	1.0	0.0
PD4194a	TA>GC	1.0	0.0
PD4194a	TA>GG	1.0	0.0
PD4194a	TA>GT	1.0	0.0
PD4194a	TC>AA	1.0	0.0
PD4194a	TC>AG	1.0	0.0
PD4194a	TC>AT	1.0	0.0
PD4194a	TC>CA	1.0	0.0
PD4194a	TC>CG	1.0	0.0
PD4194a	TC>CT	1.0	0.0
PD4194a	TC>GA	1.0	0.0
PD4194a	TC>GG	1.0	0.0
PD4194a	TC>GT	1.0	0.0
PD4194a	TG>AA	1.0	0.0
PD4194a	TG>AC	1.0	0.0
